coin,date,sc,state_final,armed_t,failed_t,hit_t
BTC,2022-11-30,2,pending,,,
BTC,2022-12-01,1,hit,1.6699041e+18,,1.669905e+18
BTC,2022-12-01,2,pending,,,
BTC,2022-12-02,1,hit,1.6699905e+18,,1.6699914e+18
BTC,2022-12-02,2,pending,,,
BTC,2022-12-05,1,pending,,,
BTC,2022-12-05,2,hit,1.6702506e+18,,1.6702533e+18
BTC,2022-12-06,1,failed,1.6703361e+18,1.6703505e+18,
BTC,2022-12-06,2,armed,1.6703487e+18,,
BTC,2022-12-07,1,armed,1.6704225e+18,,
BTC,2022-12-07,2,pending,,,
BTC,2022-12-08,1,hit,1.6705089e+18,,1.6705116e+18
BTC,2022-12-08,2,pending,,,
BTC,2022-12-09,1,hit,1.6705953e+18,,1.6705962e+18
BTC,2022-12-09,2,pending,,,
BTC,2022-12-12,1,armed,1.6708554e+18,,
BTC,2022-12-12,2,pending,,,
BTC,2022-12-13,1,pending,,,
BTC,2022-12-13,2,hit,1.6709409e+18,,1.6709418e+18
BTC,2022-12-14,1,pending,,,
BTC,2022-12-14,2,hit,1.6710273e+18,,1.6710291e+18
BTC,2022-12-15,1,pending,,,
BTC,2022-12-15,2,hit,1.6711137e+18,,1.6711146e+18
BTC,2022-12-16,1,pending,,,
BTC,2022-12-16,2,hit,1.6712001e+18,,1.6712082e+18
BTC,2022-12-19,1,pending,,,
BTC,2022-12-19,2,hit,1.6714593e+18,,1.6714656e+18
BTC,2022-12-20,1,failed,1.6715484e+18,1.6715538e+18,
BTC,2022-12-20,2,hit,1.6715457e+18,,1.6715466e+18
BTC,2022-12-21,1,pending,,,
BTC,2022-12-21,2,failed,1.6716348e+18,1.6716384e+18,
BTC,2022-12-22,1,hit,1.6717185e+18,,1.6717203e+18
BTC,2022-12-22,2,pending,,,
BTC,2022-12-23,1,pending,,,
BTC,2022-12-23,2,hit,1.6718049e+18,,1.6718058e+18
BTC,2022-12-26,1,hit,1.6720641e+18,,1.6720659e+18
BTC,2022-12-26,2,pending,,,
BTC,2022-12-27,1,hit,1.6721523e+18,,1.6721532e+18
BTC,2022-12-27,2,pending,,,
BTC,2022-12-28,1,hit,1.6722387e+18,,1.6722396e+18
BTC,2022-12-28,2,armed,1.6722432e+18,,
BTC,2022-12-29,1,armed,1.6723251e+18,,
BTC,2022-12-29,2,pending,,,
BTC,2022-12-30,1,hit,1.6724097e+18,,1.6724124e+18
BTC,2022-12-30,2,armed,1.6724142e+18,,
BTC,2023-01-02,1,pending,,,
BTC,2023-01-02,2,armed,1.6726698e+18,,
