coin,date,lean_dir,lean_strength,lean_basis
BTC,2022-07-26,up,slight_lean,A6b
BTC,2022-07-27,up,slight_lean,A6b
BTC,2022-07-28,down,slight_lean,A6b
BTC,2022-07-29,down,slight_lean,A6b
BTC,2022-08-01,down,slight_lean,A6b
BTC,2022-08-02,up,slight_lean,A6b
BTC,2022-08-03,up,slight_lean,A6b
BTC,2022-08-04,down,slight_lean,A6b
BTC,2022-08-05,down,slight_lean,A6b
BTC,2022-08-08,up,slight_lean,A6b
BTC,2022-08-09,up,slight_lean,A6b
BTC,2022-08-10,up,slight_lean,A6b
BTC,2022-08-11,down,slight_lean,A6b
BTC,2022-08-12,up,slight_lean,A6b
BTC,2022-08-15,down,slight_lean,A6b
BTC,2022-08-16,down,slight_lean,A6b
BTC,2022-08-17,up,slight_lean,A6b
BTC,2022-08-18,up,slight_lean,A6b
BTC,2022-08-19,down,slight_lean,A6b
BTC,2022-08-22,up,slight_lean,A6b
BTC,2022-08-23,up,slight_lean,A6b
BTC,2022-08-24,up,slight_lean,A6b
BTC,2022-08-25,down,slight_lean,A6b
BTC,2022-08-26,down,slight_lean,A6b
BTC,2022-08-29,up,slight_lean,A6b
BTC,2022-08-30,up,slight_lean,A6b
BTC,2022-08-31,up,slight_lean,A6b
BTC,2022-09-01,up,slight_lean,A6b
BTC,2022-09-02,down,slight_lean,A6b
BTC,2022-09-05,up,slight_lean,A6b
BTC,2022-09-06,up,slight_lean,A6b
BTC,2022-09-07,up,slight_lean,A6b
BTC,2022-09-08,down,slight_lean,A6b
BTC,2022-09-09,down,slight_lean,A6b
BTC,2022-09-12,down,slight_lean,A6b
BTC,2022-09-13,down,slight_lean,A6b
BTC,2022-09-14,up,slight_lean,A6b
BTC,2022-09-15,down,slight_lean,A6b
BTC,2022-09-16,up,slight_lean,A6b
BTC,2022-09-19,up,slight_lean,A6b
BTC,2022-09-20,down,slight_lean,A6b
BTC,2022-09-21,up,slight_lean,A6b
BTC,2022-09-22,up,slight_lean,A6b
BTC,2022-09-23,up,slight_lean,A6b
BTC,2022-09-26,up,slight_lean,A6b
BTC,2022-09-27,up,slight_lean,A6b
BTC,2022-09-28,down,slight_lean,A6b
BTC,2022-09-29,down,slight_lean,A6b
BTC,2022-09-30,up,slight_lean,A6b
BTC,2022-10-03,up,slight_lean,A6b
BTC,2022-10-04,down,slight_lean,A6b
BTC,2022-10-05,down,slight_lean,A6b
BTC,2022-10-06,up,slight_lean,A6b
BTC,2022-10-07,up,slight_lean,A6b
BTC,2022-10-10,up,slight_lean,A6b
BTC,2022-10-11,up,slight_lean,A6b
BTC,2022-10-12,up,slight_lean,A6b
BTC,2022-10-13,up,slight_lean,A6b
BTC,2022-10-14,down,slight_lean,A6b
BTC,2022-10-17,up,slight_lean,A6b
BTC,2022-10-18,down,slight_lean,A6b
BTC,2022-10-19,down,slight_lean,A6b
BTC,2022-10-20,up,slight_lean,A6b
BTC,2022-10-21,up,slight_lean,A6b
BTC,2022-10-24,down,slight_lean,A6b
BTC,2022-10-25,down,slight_lean,A6b
BTC,2022-10-26,down,slight_lean,A6b
BTC,2022-10-27,up,slight_lean,A6b
BTC,2022-10-28,up,slight_lean,A6b
BTC,2022-10-31,down,slight_lean,A6b
BTC,2022-11-01,up,slight_lean,A6b
BTC,2022-11-02,up,slight_lean,A6b
BTC,2022-11-03,up,slight_lean,A6b
BTC,2022-11-04,up,slight_lean,A6b
BTC,2022-11-07,down,slight_lean,A6b
BTC,2022-11-08,down,slight_lean,A6b
BTC,2022-11-09,down,slight_lean,A6b
BTC,2022-11-10,up,slight_lean,A6b
BTC,2022-11-11,down,slight_lean,A6b
BTC,2022-11-14,down,slight_lean,A6b
BTC,2022-11-15,up,slight_lean,A6b
BTC,2022-11-16,down,slight_lean,A6b
BTC,2022-11-17,up,slight_lean,A6b
BTC,2022-11-18,up,slight_lean,A6b
BTC,2022-11-21,down,slight_lean,A6b
BTC,2022-11-22,up,slight_lean,A6b
BTC,2022-11-23,down,slight_lean,A6b
BTC,2022-11-24,down,slight_lean,A6b
BTC,2022-11-25,down,slight_lean,A6b
BTC,2022-11-28,up,slight_lean,A6b
BTC,2022-11-29,up,slight_lean,A6b
BTC,2022-11-30,up,slight_lean,A6b
BTC,2022-12-01,down,slight_lean,A6b
BTC,2022-12-02,down,slight_lean,A6b
BTC,2022-12-05,up,slight_lean,A6b
BTC,2022-12-06,up,slight_lean,A6b
BTC,2022-12-07,up,slight_lean,A6b
BTC,2022-12-08,up,slight_lean,A6b
BTC,2022-12-09,down,slight_lean,A6b
BTC,2022-12-12,up,slight_lean,A6b
BTC,2022-12-13,down,slight_lean,A6b
BTC,2022-12-14,down,slight_lean,A6b
BTC,2022-12-15,up,slight_lean,A6b
BTC,2022-12-16,up,slight_lean,A6b
BTC,2022-12-19,up,slight_lean,A6b
BTC,2022-12-20,up,slight_lean,A6b
BTC,2022-12-21,up,slight_lean,A6b
BTC,2022-12-22,down,slight_lean,A6b
BTC,2022-12-23,up,slight_lean,A6b
BTC,2022-12-26,down,slight_lean,A6b
BTC,2022-12-27,down,slight_lean,A6b
BTC,2022-12-28,up,slight_lean,A6b
BTC,2022-12-29,up,slight_lean,A6b
BTC,2022-12-30,down,slight_lean,A6b
BTC,2023-01-02,up,slight_lean,A6b
BTC,2023-01-03,up,slight_lean,A6b
BTC,2023-01-04,up,slight_lean,A6b
BTC,2023-01-05,down,slight_lean,A6b
BTC,2023-01-06,up,slight_lean,A6b
BTC,2023-01-09,down,slight_lean,A6b
BTC,2023-01-10,down,slight_lean,A6b
BTC,2023-01-11,down,slight_lean,A6b
BTC,2023-01-12,down,slight_lean,A6b
BTC,2023-01-13,down,slight_lean,A6b
BTC,2023-01-16,down,slight_lean,A6b
BTC,2023-01-17,down,slight_lean,A6b
BTC,2023-01-18,down,slight_lean,A6b
BTC,2023-01-19,up,slight_lean,A6b
BTC,2023-01-20,up,slight_lean,A6b
BTC,2023-01-23,down,slight_lean,A6b
BTC,2023-01-24,down,slight_lean,A6b
BTC,2023-01-25,up,slight_lean,A6b
BTC,2023-01-26,up,slight_lean,A6b
BTC,2023-01-27,down,slight_lean,A6b
BTC,2023-01-30,down,slight_lean,A6b
BTC,2023-01-31,up,slight_lean,A6b
BTC,2023-02-01,down,slight_lean,A6b
BTC,2023-02-02,down,slight_lean,A6b
BTC,2023-02-03,down,slight_lean,A6b
BTC,2023-02-06,up,slight_lean,A6b
BTC,2023-02-07,up,slight_lean,A6b
BTC,2023-02-08,down,slight_lean,A6b
BTC,2023-02-09,up,slight_lean,A6b
BTC,2023-02-10,up,slight_lean,A6b
BTC,2023-02-13,up,slight_lean,A6b
BTC,2023-02-14,down,slight_lean,A6b
BTC,2023-02-15,down,slight_lean,A6b
BTC,2023-02-16,down,slight_lean,A6b
BTC,2023-02-17,up,slight_lean,A6b
BTC,2023-02-20,up,slight_lean,A6b
BTC,2023-02-21,up,slight_lean,A6b
